City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
87,horadiz,0,AZ,1557882000,100,39.45,47.33,59.0,4.7
88,barrow,19,AR,1557885928,58,-38.31,-60.23,49.41,14.58
89,east london,25,ZA,1557885928,27,-33.02,27.91,67.23,8.55
90,salinas,1,US,1557885769,63,36.67,-121.66,64.4,11.41
91,yellowknife,75,CA,1557885767,51,62.45,-114.38,35.6,9.17
92,saint-philippe,90,CA,1557885907,93,45.36,-73.48,45.0,9.17
93,saskylakh,100,RU,1557885929,89,71.97,114.09,16.74,10.96
94,santa cruz,100,US,1557885928,59,36.97,-122.03,64.4,11.41
95,avarua,100,CK,1557883800,94,-21.21,-159.78,73.4,9.17
96,marystown,100,CA,1557885931,65,47.17,-55.16,39.61,4.79
97,vanavara,13,RU,1557885932,45,60.35,102.28,45.34,2.21
98,lebu,76,ET,1557885932,67,8.96,38.73,56.44,0.85
99,duldurga,100,RU,1557885932,79,50.67,113.59,38.82,10.54
100,kazachinskoye,56,RU,1557885933,41,57.69,93.28,45.97,5.3
101,champerico,75,MX,1557881220,41,16.38,-93.6,93.2,8.05
102,orotukan,0,RU,1557885933,35,62.26,151.67,40.35,2.1
103,emba,0,CY,1557884862,45,34.81,32.42,68.0,9.17
104,lerwick,20,GB,1557883200,87,60.15,-1.15,46.4,4.52
105,kudahuvadhoo,40,MV,1557885934,72,2.67,72.89,85.53,10.2
106,souillac,0,FR,1557885920,50,45.6,-0.6,55.0,11.41
107,norman wells,20,CA,1557882000,32,65.28,-126.83,53.6,9.17
108,kununurra,0,AU,1557883800,22,-15.77,128.74,86.0,10.29
109,mataura,100,NZ,1557885609,64,-46.19,168.86,52.0,25.99
110,qaqortoq,91,GL,1557881400,32,60.72,-46.03,51.8,12.75
111,port elizabeth,16,US,1557885932,93,39.31,-74.98,53.01,7.47
112,tuatapere,100,NZ,1557885609,64,-46.13,167.69,52.0,25.99
113,meulaboh,100,ID,1557885936,78,4.14,96.13,82.76,5.23
114,castro,90,CL,1557882000,87,-42.48,-73.76,50.0,3.36
115,ruwi,0,OM,1557881400,37,23.6,58.55,84.2,3.36
116,north bend,90,US,1557885923,93,43.41,-124.22,59.0,3.36
117,santa marta,75,CO,1557882000,70,11.24,-74.21,87.8,21.41
118,lukovetskiy,90,RU,1557883800,100,64.29,41.92,39.2,2.24
119,ancud,90,CL,1557882000,87,-41.87,-73.83,50.0,3.36
120,sitka,0,US,1557885775,48,37.17,-99.65,75.0,9.53
121,ponta do sol,96,BR,1557885939,98,-20.63,-46.0,63.73,3.89
122,eureka,90,US,1557885684,93,40.8,-124.16,57.99,5.82
123,tuktoyaktuk,20,CA,1557882000,80,69.44,-133.03,33.8,12.75
124,banepa,20,NP,1557885000,72,27.63,85.52,66.2,1.72
125,suntar,56,RU,1557885941,40,62.16,117.65,52.0,12.17
126,paamiut,100,GL,1557885941,92,61.99,-49.67,34.21,13.53
127,ribeira grande,100,PT,1557885941,86,38.52,-28.7,62.13,16.51
128,klaksvik,90,FO,1557885000,100,62.23,-6.59,44.6,1.12
129,hasaki,75,JP,1557885342,72,35.73,140.83,72.0,11.41
130,artvin,0,TR,1557883800,71,41.18,41.83,55.4,9.17
131,agadir,20,MA,1557883800,87,30.42,-9.58,60.8,6.69
132,aklavik,5,CA,1557882000,42,68.22,-135.01,46.4,11.41
133,ambon,0,FR,1557885931,61,47.55,-2.56,55.0,11.41
134,vao,0,EE,1557885943,71,59.1,26.19,40.57,3.49
135,cidreira,7,BR,1557885944,78,-30.17,-50.22,65.41,5.37
136,kilindoni,93,TZ,1557885944,76,-7.91,39.67,80.82,15.55
137,seymchan,0,RU,1557885944,35,62.93,152.39,40.64,2.86
138,cascais,0,PT,1557885939,55,38.7,-9.42,68.0,8.84
139,ahuimanu,90,US,1557885911,69,21.44,-157.84,82.99,9.17
140,khatanga,83,RU,1557885945,84,71.98,102.47,16.02,3.29
141,male,82,UA,1557885945,92,50.74,33.7,54.36,2.42
142,san-pedro,100,CI,1557885946,98,4.75,-6.64,72.75,2.33
143,dikson,100,RU,1557885946,81,73.51,80.55,20.86,2.13
144,aykhal,90,RU,1557883800,86,65.95,111.51,26.6,6.71
145,hualmay,86,PE,1557885946,97,-11.1,-77.61,64.54,16.06
146,samfya,35,ZM,1557885947,86,-11.37,29.56,55.45,4.74
147,bonthe,90,SL,1557885947,82,7.53,-12.5,81.23,8.19
148,charlestown,90,US,1557885947,81,41.38,-71.64,46.99,5.82
149,wanaka,74,NZ,1557885951,73,-44.7,169.14,42.66,24.25
150,leningradskiy,98,RU,1557885951,82,69.38,178.42,23.41,8.59
151,ostrovnoy,100,RU,1557885952,83,68.05,39.51,39.65,10.89
152,varhaug,0,NO,1557885903,93,58.61,5.65,46.0,2.24
153,assentoft,0,DK,1557885617,86,56.44,10.14,42.01,2.24
154,vila velha,20,BR,1557885600,78,-3.71,-38.6,82.4,2.24
155,sorland,10,NO,1557885756,64,67.67,12.69,40.87,1.36
156,khed brahma,0,IN,1557885771,50,24.03,73.05,85.69,7.4
157,amahai,53,ID,1557885953,74,-3.31,129.0,84.25,8.41
158,mar del plata,100,AR,1557885954,53,-46.43,-67.52,52.47,19.39
159,tasiilaq,100,GL,1557881400,80,65.61,-37.64,41.0,36.91
160,kingaroy,90,AU,1557885916,77,-26.54,151.84,64.4,11.41
161,alta floresta,100,BR,1557885954,88,-9.87,-56.08,72.91,2.89
162,mina,35,PH,1557885955,42,10.93,122.57,94.33,6.08
163,tarrega,0,ES,1557885954,76,41.65,1.14,57.0,11.41
164,clyde river,90,CA,1557883860,92,70.47,-68.59,28.4,31.09
165,cabo san lucas,20,MX,1557885627,50,22.89,-109.91,78.8,10.29
166,bonavista,100,CA,1557885716,70,48.65,-53.11,37.99,1.01
167,bereda,2,ES,1557885846,82,43.27,-7.54,55.99,1.12
168,ilulissat,2,GL,1557881400,37,69.22,-51.1,51.8,14.99
169,uvat,0,RU,1557885956,48,59.14,68.9,35.92,6.38
170,faanui,50,PF,1557885957,78,-16.48,-151.75,83.66,17.78
171,coos bay,90,US,1557885923,82,43.37,-124.22,59.0,12.75
172,grand bend,20,CA,1557885919,62,43.31,-81.76,54.0,5.61
173,aripuana,12,BR,1557885958,98,-9.17,-60.63,71.67,2.62
174,tabas,0,IR,1557882000,27,33.6,56.92,77.0,2.24
175,broken hill,0,AU,1557882000,51,-31.97,141.45,60.8,14.99
176,pontianak,15,ID,1557885959,65,-0.02,109.34,85.39,3.65
177,chuy,4,UY,1557885959,67,-33.69,-53.46,64.51,15.5
178,bambous virieux,20,MU,1557885841,88,-20.34,57.76,69.01,4.7
179,nemuro,75,JP,1557882000,63,43.32,145.57,66.2,16.11
180,pemba,20,MZ,1557882000,94,-12.97,40.52,69.8,9.17
181,conceicao da barra,0,BR,1557885960,95,-18.59,-39.73,73.08,0.45
182,san patricio,11,PY,1557885961,97,-26.98,-56.83,57.29,4.9
183,port hardy,75,CA,1557882000,87,50.7,-127.42,51.8,8.05
184,namatanai,25,PG,1557885961,80,-3.66,152.44,82.08,2.93
185,beloha,82,MG,1557885962,90,-25.17,45.06,67.66,7.61
